Team,Ranking,Sport
Afghanistan,0.5,Taekwondo
Afghanistan,0,Judo
Afghanistan,0,Judo
Afghanistan,0,Judo
Afghanistan,0,Athletics
Afghanistan,0,Athletics
Afghanistan,0,Athletics
Afghanistan,0,Athletics
Afghanistan,0,Wrestling
Afghanistan,0,Boxing
Afghanistan,0,Boxing
Afghanistan,0,Taekwondo
Albania,0,Judo
Albania,0,Judo
Albania,0,Athletics
Albania,0,Athletics
Albania,0,Athletics
Albania,0,Athletics
Albania,0,Athletics
Albania,0,Weightlifting
Albania,0,Weightlifting
Albania,0,Weightlifting
Albania,0,Weightlifting
Albania,0,Weightlifting
Albania,0,Wrestling
Albania,0,Wrestling
Albania,0,Swimming
Albania,0,Swimming
Albania,0,Swimming
Albania,0,Swimming
Albania,0,Shooting
Albania,0,Shooting
Albania,0,Shooting
Algeria,0.222222222,Judo
Algeria,0.19047619,Athletics
Algeria,0.166666667,Athletics
Algeria,0.153846154,Athletics
Algeria,0.142857143,Boxing
Algeria,0,Judo
Algeria,0,Judo
Algeria,0,Judo
Algeria,0,Judo
Algeria,0,Badminton
Algeria,0,Sailing
Algeria,0,Athletics
Algeria,0,Athletics
Algeria,0,Weightlifting
Algeria,0,Weightlifting
Algeria,0,Weightlifting
Algeria,0,Weightlifting
Algeria,0,Weightlifting
Algeria,0,Wrestling
Algeria,0,Wrestling
Algeria,0,Wrestling
Algeria,0,Wrestling
Algeria,0,Wrestling
Algeria,0,Rowing
Algeria,0,Rowing
Algeria,0,Rowing
Algeria,0,Rowing
Algeria,0,Rowing
Algeria,0,Swimming
Algeria,0,Swimming
Algeria,0,Swimming
Algeria,0,Swimming
Algeria,0,Swimming
Algeria,0,Boxing
Algeria,0,Boxing
Algeria,0,Boxing
Algeria,0,Boxing
Algeria,0,Gymnastics
Algeria,0,Taekwondo
Algeria,0,Fencing
Algeria,0,Fencing
Algeria,0,Fencing
Algeria,0,Fencing
Algeria,0,Fencing
Algeria,0,Football
Algeria,0,Tennis
Algeria,0,Cycling
Algeria,0,Cycling
Algeria,0,Cycling
Algeria,0,Volleyball
Algeria,0,Volleyball
Algeria,0,Shooting
Algeria,0,Shooting
Algeria,0,Table Tennis
Algeria,0,Table Tennis
Algeria,0,Table Tennis
Algeria,0,Trampolining
American Samoa,0,Judo
American Samoa,0,Judo
American Samoa,0,Judo
American Samoa,0,Athletics
American Samoa,0,Athletics
American Samoa,0,Athletics
American Samoa,0,Athletics
American Samoa,0,Athletics
American Samoa,0,Weightlifting
American Samoa,0,Weightlifting
American Samoa,0,Weightlifting
American Samoa,0,Swimming
American Samoa,0,Swimming
American Samoa,0,Archery
Andorra,0,Judo
Andorra,0,Judo
Andorra,0,Judo
Andorra,0,Judo
Andorra,0,Athletics
Andorra,0,Athletics
Andorra,0,Athletics
Andorra,0,Athletics
Andorra,0,Athletics
Andorra,0,Swimming
Andorra,0,Swimming
Andorra,0,Swimming
Andorra,0,Swimming
Andorra,0,Swimming
Andorra,0,Canoeing
Andorra,0,Shooting
Andorra,0,Shooting
Andorra,0,Shooting
Andorra,0,Shooting
Angola,0,Judo
Angola,0,Judo
Angola,0,Judo
Angola,0,Sailing
Angola,0,Athletics
Angola,0,Athletics
Angola,0,Athletics
Angola,0,Athletics
Angola,0,Athletics
Angola,0,Handball
Angola,0,Handball
Angola,0,Handball
Angola,0,Handball
Angola,0,Handball
Angola,0,Rowing
Angola,0,Swimming
Angola,0,Swimming
Angola,0,Swimming
Angola,0,Swimming
Angola,0,Swimming
Angola,0,Basketball
Angola,0,Basketball
Angola,0,Basketball
Angola,0,Basketball
Angola,0,Canoeing
Angola,0,Canoeing
Angola,0,Shooting
Angola,0,Shooting
Angola,0,Beach Volleyball
Antigua and Barbuda,0,Sailing
Antigua and Barbuda,0,Athletics
Antigua and Barbuda,0,Athletics
Antigua and Barbuda,0,Athletics
Antigua and Barbuda,0,Athletics
Antigua and Barbuda,0,Athletics
